"","model","sim","mean_diff_hm","mean_diff_max","trend_hm","trend_max"
"76","independent",38,-0.153846153846154,-1.15384615384615,-0.967032967032966,-0.835164835164837
"77","hierarchical",38,-0.230769230769231,-0.769230769230769,-0.851648351648351,-0.73626373626374
"78","independent",39,0,1.46153846153846,-0.796703296703297,-0.0769230769230777
"79","hierarchical",39,-0.230769230769231,-0.307692307692308,-0.807692307692308,-0.780219780219784
"80","independent",40,0.538461538461538,1.76923076923077,-0.818681318681318,-0.159340659340663
"81","hierarchical",40,-0.0769230769230769,-0.384615384615385,-0.967032967032968,-0.868131868131873
"82","independent",41,-0.923076923076923,-0.307692307692308,-1.28571428571429,-0.857142857142858
"83","hierarchical",41,-1.07692307692308,-1.07692307692308,-0.967032967032968,-0.967032967032972
"84","independent",42,1.46153846153846,4.69230769230769,-0.280219780219778,1.34065934065934
"85","hierarchical",42,-0.307692307692308,-0.692307692307692,-0.884615384615385,-0.736263736263739
"86","independent",43,0,-0.692307692307692,-1.02197802197802,-1.0989010989011
"87","hierarchical",43,-0.230769230769231,-0.538461538461538,-0.967032967032967,-1.02197802197803
"88","independent",44,2.69230769230769,4.69230769230769,0.653846153846153,1.47252747252747
"89","hierarchical",44,-0.692307692307692,-0.692307692307692,-0.890109890109893,-0.769230769230775
"90","independent",45,-0.307692307692308,-1,-1.03296703296703,-0.945054945054945
"91","hierarchical",45,-0.153846153846154,-1,-0.884615384615383,-0.73626373626374
"92","independent",46,-1.07692307692308,-0.615384615384615,-1.20329670329671,-0.83516483516484
"93","hierarchical",46,-0.692307692307692,-1.46153846153846,-0.884615384615384,-0.96703296703297
"94","independent",47,-0.538461538461538,-0.692307692307692,-1.14285714285714,-0.989010989010992
"95","hierarchical",47,-0.307692307692308,-0.923076923076923,-0.978021978021979,-0.85714285714286
"96","independent",48,-1.07692307692308,-0.230769230769231,-0.8956043956044,-0.818681318681319
"97","hierarchical",48,-0.846153846153846,-1.07692307692308,-0.840659340659339,-0.818681318681323
"98","independent",49,-0.384615384615385,-0.230769230769231,-1.01098901098901,-0.912087912087912
"99","hierarchical",49,-0.153846153846154,-0.307692307692308,-0.884615384615383,-0.83516483516484
"100","independent",50,-0.461538461538462,-0.0769230769230769,-0.950549450549454,-0.758241758241759
"101","hierarchical",50,-0.615384615384615,-0.769230769230769,-0.989010989010991,-1
"102","independent",51,-0.153846153846154,-0.230769230769231,-1.0054945054945,-0.637362637362644
"103","hierarchical",51,-0.153846153846154,-0.230769230769231,-0.939560439560438,-0.730769230769237
