"","model","sim","year","hm_jday","max_jday","max_val","first","median","diff_hm","diff_max","n.surveys"
"109","independent",5,"4",131,138,0.118698699578997,121,142,0,-1,7250
"110","independent",5,"5",128,136,0.116837062547075,121,141,-2,-2,6500
"111","independent",5,"6",129,137,0.1075666114007,121,140.5,0,0,5750
"112","independent",5,"7",128,136,0.120163530180589,121,138,0,0,5000
"113","independent",5,"8",127,134,0.153389707795995,122,136,0,-1,4250
"114","independent",5,"9",125,133,0.125139947395759,119,136,-1,-1,3500
"115","independent",5,"10",124,134,0.0953457521966649,121,139.5,-1,1,2750
"116","independent",5,"11",123,131,0.136109560003662,122,133,-1,-1,2000
"117","independent",5,"12",119,128,0.10583745879486,119,136,-4,-3,1250
"118","independent",5,"13",175,200,0.110501269142319,125,163,53,70,500
"119","hierarchical",5,"1",132,139,0.11445782192014,126,144.5,-2,-3,9500
"120","hierarchical",5,"2",132,139,0.120742962349885,126,144,-1,-2,8750
"121","hierarchical",5,"3",131,138,0.124519099315567,122,141,-1,-2,8000
"122","hierarchical",5,"4",130,138,0.125430765036741,121,142,-1,-1,7250
"123","hierarchical",5,"5",129,137,0.125069130284256,121,141,-1,-1,6500
"124","hierarchical",5,"6",128,136,0.123272561536952,121,140.5,-1,-1,5750
"125","hierarchical",5,"7",127,135,0.121244317605681,121,138,-1,-1,5000
"126","hierarchical",5,"8",126,134,0.120134195300143,122,136,-1,-1,4250
"127","hierarchical",5,"9",125,133,0.120638992251683,119,136,-1,-1,3500
"128","hierarchical",5,"10",124,132,0.122934798973286,121,139.5,-1,-1,2750
"129","hierarchical",5,"11",123,131,0.12663296613011,122,133,-1,-1,2000
"130","hierarchical",5,"12",123,131,0.131256785996075,119,136,0,0,1250
"131","hierarchical",5,"13",122,130,0.135508577523663,125,163,0,0,500
"132","independent",6,"1",134,141,0.131948826256778,126,145,0,-1,9500
"133","independent",6,"2",133,140,0.133395257534343,124,143,0,-1,8750
"134","independent",6,"3",132,138,0.141666928728191,124,143,0,-2,8000
"135","independent",6,"4",131,138,0.131895810141043,122,141,0,-1,7250
"136","independent",6,"5",129,136,0.117380251927347,123,139,-1,-2,6500
"137","independent",6,"6",130,137,0.135375681973166,119,139,1,0,5750
"138","independent",6,"7",128,135,0.102418495079677,124,140,0,-1,5000
"139","independent",6,"8",127,134,0.11324537696854,121,138,0,-1,4250
"140","independent",6,"9",125,135,0.125144924424655,117,138,-1,1,3500
"141","independent",6,"10",125,132,0.15557727095409,118,135.5,0,-1,2750
"142","independent",6,"11",122,130,0.0996080597276252,120,136,-2,-2,2000
"143","independent",6,"12",122,132,0.0862444093013373,118,137,-1,1,1250
"144","independent",6,"13",118,128,0.128233504628414,120,135.5,-4,-2,500
"145","hierarchical",6,"1",133,139,0.122279445662283,126,145,-1,-3,9500
"146","hierarchical",6,"2",132,138,0.12872958923044,124,143,-1,-3,8750
"147","hierarchical",6,"3",131,138,0.133151641309454,124,143,-1,-2,8000
"148","hierarchical",6,"4",131,137,0.134085818902679,122,141,0,-2,7250
"149","hierarchical",6,"5",130,137,0.132379661268877,123,139,0,-1,6500
"150","hierarchical",6,"6",129,136,0.129405375389519,119,139,0,-1,5750
"151","hierarchical",6,"7",128,135,0.125569122699782,124,140,0,-1,5000
"152","hierarchical",6,"8",127,134,0.122444525862678,121,138,0,-1,4250
"153","hierarchical",6,"9",126,134,0.12115803082458,117,138,0,0,3500
"154","hierarchical",6,"10",124,133,0.122330283314175,118,135.5,-1,0,2750
"155","hierarchical",6,"11",123,132,0.125988398450747,120,136,-1,0,2000
"156","hierarchical",6,"12",122,130,0.132025706989568,118,137,-1,-1,1250
"157","hierarchical",6,"13",121,130,0.139810016953616,120,135.5,-1,0,500
"158","independent",7,"1",135,142,0.15991027314786,125,144,1,0,9500
"159","independent",7,"2",134,141,0.140333470901818,124,143,1,0,8750
"160","independent",7,"3",133,140,0.136537749084997,128,143.5,1,0,8000
"161","independent",7,"4",131,138,0.121683468397292,122,146.5,0,-1,7250
"162","independent",7,"5",131,139,0.114880068092135,119,144,1,1,6500
"163","independent",7,"6",129,137,0.10910560343276,122,139,0,0,5750
"164","independent",7,"7",128,135,0.0950995202057963,120,141,0,-1,5000
"165","independent",7,"8",127,135,0.15284859746835,122,137,0,0,4250
"166","independent",7,"9",126,134,0.121639210145459,122,137,0,0,3500
"167","independent",7,"10",123,130,0.130977234913751,115,133,-2,-3,2750
"168","independent",7,"11",125,132,0.12101101790246,121,134,1,0,2000
"169","independent",7,"12",119,133,0.0947628434081011,115,136,-4,2,1250
"170","independent",7,"13",123,133,0.126023338576174,126,135,1,3,500
"171","hierarchical",7,"1",134,141,0.139387629835501,125,144,0,-1,9500
"172","hierarchical",7,"2",134,140,0.139021885554732,124,143,1,-1,8750
"173","hierarchical",7,"3",133,140,0.135650667421325,128,143.5,1,0,8000
"174","hierarchical",7,"4",132,139,0.132088000124006,122,146.5,1,0,7250
"175","hierarchical",7,"5",131,138,0.127440622450995,119,144,1,0,6500
"176","hierarchical",7,"6",130,138,0.122879099630358,122,139,1,1,5750
"177","hierarchical",7,"7",128,137,0.120060311552415,120,141,0,1,5000
"178","hierarchical",7,"8",127,136,0.118513575425658,122,137,0,1,4250
"179","hierarchical",7,"9",126,135,0.118833523181505,122,137,0,1,3500
