"","model","sim","mean_diff_hm","mean_diff_max","trend_hm","trend_max"
"49","hierarchical",24,0.153846153846153,1.84615384615385,-0.939560439560441,-1.02747252747253
"50","independent",25,0.538461538461538,0,-0.873626373626376,-0.802197802197801
"51","hierarchical",25,0.692307692307692,1.92307692307692,-0.9010989010989,-0.906593406593409
"52","independent",26,-0.0769230769230769,-0.538461538461538,-0.978021978021979,-1.02197802197802
"53","hierarchical",26,0.384615384615385,1.46153846153846,-0.868131868131867,-1.03846153846154
"54","independent",27,0.384615384615385,-0.692307692307692,-0.85164835164835,-0.917582417582419
"55","hierarchical",27,0.384615384615385,1.53846153846154,-0.868131868131867,-1.04945054945055
"56","independent",28,0.384615384615385,-0.384615384615385,-0.87362637362637,-0.879120879120879
"57","hierarchical",28,0.538461538461538,2.15384615384615,-0.851648351648355,-0.939560439560443
"58","independent",29,0.230769230769231,-0.307692307692308,-0.895604395604396,-1.02747252747253
"59","hierarchical",29,0.384615384615385,2.07692307692308,-0.890109890109889,-0.967032967032969
"60","independent",30,0.307692307692308,-0.153846153846154,-0.994505494505497,-1.03846153846154
"61","hierarchical",30,0.153846153846153,2.46153846153846,-0.939560439560441,-1.11538461538462
"62","independent",31,0.0769230769230769,0.538461538461538,-0.961538461538459,-0.961538461538463
"63","hierarchical",31,0.384615384615385,2.15384615384615,-0.890109890109889,-0.939560439560443
"64","independent",32,-0.538461538461538,-0.384615384615385,-1.10989010989011,-1.18681318681319
"65","hierarchical",32,-0.0769230769230766,1.53846153846154,-0.967032967032967,-1.01648351648352
"66","independent",33,0.692307692307692,0.0769230769230769,-0.928571428571431,-0.989010989010986
"67","hierarchical",33,1,2.23076923076923,-0.835164835164837,-0.917582417582418
"68","independent",34,0.307692307692308,0.384615384615385,-1.06043956043956,-1.03846153846154
"69","hierarchical",34,0.692307692307692,2.30769230769231,-0.945054945054944,-1.01648351648352
"70","independent",35,0.384615384615385,-0.692307692307692,-0.85164835164835,-0.807692307692312
"71","hierarchical",35,0.538461538461538,1.46153846153846,-0.857142857142857,-0.857142857142858
"72","independent",36,-0.615384615384615,-0.538461538461538,-1.04945054945055,-1.27472527472528
"73","hierarchical",36,0,1.30769230769231,-1,-1.0989010989011
"74","independent",37,0.615384615384615,0,-0.890109890109892,-0.895604395604399
"75","hierarchical",37,0.538461538461538,1.69230769230769,-0.829670329670333,-0.994505494505497
"76","independent",38,-0.0769230769230769,-1.07692307692308,-1.03296703296703,-1.14285714285714
"77","hierarchical",38,0.76923076923077,1.92307692307692,-0.917582417582418,-0.96703296703297
"78","independent",39,0.307692307692308,-0.769230769230769,-1.0989010989011,-1.09340659340659
"79","hierarchical",39,0.307692307692308,1.69230769230769,-0.884615384615386,-1.07692307692308
"80","independent",40,0.153846153846154,-0.692307692307692,-1.01098901098901,-1.02747252747253
"81","hierarchical",40,0.153846153846153,1.69230769230769,-0.939560439560441,-1.05494505494506
"82","independent",41,0.384615384615385,-0.692307692307692,-1.09340659340659,-1.03296703296703
"83","hierarchical",41,0.384615384615385,1.53846153846154,-0.868131868131867,-1.04945054945055
"84","independent",42,0.153846153846154,-0.615384615384615,-0.945054945054942,-0.961538461538467
"85","hierarchical",42,0.384615384615385,1.61538461538461,-0.868131868131867,-1.1043956043956
"86","independent",43,0,-0.692307692307692,-0.945054945054945,-0.939560439560441
"87","hierarchical",43,0.23076923076923,1.53846153846154,-0.917582417582418,-1.04945054945055
"88","independent",44,0.461538461538462,0.230769230769231,-0.928571428571431,-0.857142857142857
"89","hierarchical",44,0.692307692307692,2.15384615384615,-0.824175824175827,-0.939560439560443
"90","independent",45,0.153846153846154,-0.846153846153846,-0.967032967032963,-1.03846153846154
"91","hierarchical",45,0.384615384615385,1.23076923076923,-0.85164835164835,-0.917582417582418
"92","independent",46,0.0769230769230769,0.0769230769230769,-1,-0.961538461538464
"93","hierarchical",46,0.23076923076923,1.76923076923077,-0.917582417582418,-1.01648351648352
"94","independent",47,0.230769230769231,0.153846153846154,-0.774725274725275,-0.983516483516487
"95","hierarchical",47,0,1.61538461538461,-0.725274725274725,-1.16483516483517
"96","independent",48,0,0.230769230769231,-0.93956043956044,-0.829670329670328
"97","hierarchical",48,0,1.84615384615385,-0.934065934065931,-0.939560439560442
"98","independent",49,0.0769230769230769,-0.230769230769231,-0.906593406593404,-0.81868131868132
"99","hierarchical",49,0.615384615384615,1.38461538461539,-0.890109890109889,-0.89010989010989
"100","independent",50,0.0769230769230769,-0.153846153846154,-0.851648351648352,-0.895604395604398
"101","hierarchical",50,0.307692307692308,1.61538461538461,-0.884615384615386,-1.05494505494506
"102","independent",51,0.153846153846154,-0.230769230769231,-1.07142857142857,-0.950549450549451
"103","hierarchical",51,0.538461538461538,1.92307692307692,-0.884615384615384,-0.961538461538464
"104","independent",52,0.384615384615385,-0.615384615384615,-1.02747252747253,-1.02197802197802
"105","hierarchical",52,0.461538461538462,1.84615384615385,-0.857142857142859,-0.983516483516486
"106","independent",53,0.153846153846154,-0.615384615384615,-1.01648351648351,-1.18681318681319
"107","hierarchical",53,0.153846153846153,2.07692307692308,-0.939560439560441,-0.967032967032969
"108","independent",54,0.692307692307692,-0.153846153846154,-0.945054945054948,-0.813186813186812
"109","hierarchical",54,1,2,-0.835164835164837,-0.879120879120883
"110","independent",55,-0.230769230769231,-0.846153846153846,-1.06043956043956,-1.01098901098901
"111","hierarchical",55,0.153846153846153,1.69230769230769,-0.840659340659337,-0.901098901098904
"112","independent",56,-0.0769230769230769,-1.07692307692308,-1.11538461538462,-1.03846153846154
